cpus=16
         minimal-71004 [013] 75916.575272: funcgraph_entry:                   |  vsock_accept() {
         minimal-71004 [013] 75916.575273: funcgraph_entry:                   |    lock_sock_nested() {
         minimal-71004 [013] 75916.575273: funcgraph_entry:        0.150 us   |      __cond_resched();
         minimal-71004 [013] 75916.575273: funcgraph_entry:        0.101 us   |      _raw_spin_lock_bh();
         minimal-71004 [013] 75916.575274: funcgraph_entry:                   |      _raw_spin_unlock_bh() {
         minimal-71004 [013] 75916.575274: funcgraph_entry:        0.090 us   |        __local_bh_enable_ip();
         minimal-71004 [013] 75916.575274: funcgraph_exit:         0.300 us   |      }
         minimal-71004 [013] 75916.575274: funcgraph_exit:         1.193 us   |    }
         minimal-71004 [013] 75916.575274: funcgraph_entry:                   |    prepare_to_wait() {
         minimal-71004 [013] 75916.575274: funcgraph_entry:        0.090 us   |      _raw_spin_lock_irqsave();
         minimal-71004 [013] 75916.575274: funcgraph_entry:        0.131 us   |      _raw_spin_unlock_irqrestore();
         minimal-71004 [013] 75916.575275: funcgraph_exit:         0.571 us   |    }
         minimal-71004 [013] 75916.575275: funcgraph_entry:                   |    release_sock() {
         minimal-71004 [013] 75916.575275: funcgraph_entry:        0.090 us   |      _raw_spin_lock_bh();
         minimal-71004 [013] 75916.575275: funcgraph_entry:                   |      _raw_spin_unlock_bh() {
         minimal-71004 [013] 75916.575275: funcgraph_entry:        0.120 us   |        __local_bh_enable_ip();
         minimal-71004 [013] 75916.575275: funcgraph_exit:         0.310 us   |      }
         minimal-71004 [013] 75916.575275: funcgraph_exit:         0.721 us   |    }
         minimal-71004 [013] 75916.575276: funcgraph_entry:                   |    schedule_timeout() {
         minimal-71004 [013] 75916.575276: funcgraph_entry:        0.090 us   |      timer_init_key();
         minimal-71004 [013] 75916.575276: funcgraph_entry:                   |      add_timer() {
         minimal-71004 [013] 75916.575276: funcgraph_entry:                   |        lock_timer_base() {
         minimal-71004 [013] 75916.575276: funcgraph_entry:        0.090 us   |          _raw_spin_lock_irqsave();
         minimal-71004 [013] 75916.575276: funcgraph_exit:         0.300 us   |        }
         minimal-71004 [013] 75916.575276: funcgraph_entry:        0.101 us   |        detach_if_pending();
         minimal-71004 [013] 75916.575277: funcgraph_entry:        0.110 us   |        calc_wheel_index();
         minimal-71004 [013] 75916.575277: funcgraph_entry:        0.211 us   |        enqueue_timer();
         minimal-71004 [013] 75916.575277: funcgraph_entry:        0.090 us   |        _raw_spin_unlock_irqrestore();
         minimal-71004 [013] 75916.575277: funcgraph_exit:         1.543 us   |      }
         minimal-71004 [013] 75916.575278: funcgraph_entry:                   |      schedule() {
         minimal-71004 [013] 75916.575278: funcgraph_entry:        0.150 us   |        rcu_note_context_switch();
         minimal-71004 [013] 75916.575278: funcgraph_entry:        0.090 us   |        migrate_disable_switch.isra.0();
         minimal-71004 [013] 75916.575278: funcgraph_entry:                   |        raw_spin_rq_lock_nested() {
         minimal-71004 [013] 75916.575278: funcgraph_entry:        0.110 us   |          _raw_spin_lock();
         minimal-71004 [013] 75916.575279: funcgraph_exit:         0.310 us   |        }
         minimal-71004 [013] 75916.575279: funcgraph_entry:                   |        update_rq_clock() {
         minimal-71004 [013] 75916.575279: funcgraph_entry:        0.120 us   |          arch_scale_cpu_capacity();
         minimal-71004 [013] 75916.575279: funcgraph_exit:         0.361 us   |        }
         minimal-71004 [013] 75916.575279: funcgraph_entry:                   |        dequeue_task_fair() {
         minimal-71004 [013] 75916.575279: funcgraph_entry:                   |          dequeue_entities() {
         minimal-71004 [013] 75916.575280: funcgraph_entry:                   |            update_curr() {
         minimal-71004 [013] 75916.575280: funcgraph_entry:                   |              update_se() {
         minimal-71004 [013] 75916.575280: funcgraph_entry:        0.110 us   |                cpuacct_charge();
         minimal-71004 [013] 75916.575280: funcgraph_entry:                   |                __cgroup_account_cputime() {
         minimal-71004 [013] 75916.575280: funcgraph_entry:        0.090 us   |                  css_rstat_updated();
         minimal-71004 [013] 75916.575280: funcgraph_exit:         0.311 us   |                }
         minimal-71004 [013] 75916.575280: funcgraph_exit:         0.762 us   |              }
         minimal-71004 [013] 75916.575281: funcgraph_entry:                   |              dl_server_update() {
         minimal-71004 [013] 75916.575281: funcgraph_entry:        0.141 us   |                update_curr_dl_se();
         minimal-71004 [013] 75916.575281: funcgraph_exit:         0.331 us   |              }
